ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab8,simple,1421,837032.2000000025,811,610,194,218,189,210,196,414,27.826936,0.019582643209007742,811,166,0.8645833333333334,560,832,720.9964813511612,712,560
1,lab8,simple,2037,1704334.600000005,1139,898,274,302,269,294,268,630,38.878006,0.019085913598429063,1139,141,0.734375,560,832,720.0314187530682,712,560
2,lab8,simple,5189,11207388.599999819,3017,2172,699,816,694,808,735,1437,107.326963,0.020683554249373678,3017,184,0.9583333333333334,560,832,720.3191366351898,712,560
3,lab8,simple,79,2574.400000000001,43,36,14,14,9,6,11,25,1.588421,0.02010659493670886,43,29,0.15104166666666666,560,832,731.3417721518987,712,560
4,lab8,simple,147,8812.0,81,66,20,27,15,19,22,44,2.963201,0.02015782993197279,81,43,0.22395833333333334,560,832,730.0680272108843,712,560
5,lab8,simple,603,150086.00000000006,343,260,86,92,81,84,91,169,11.874504,0.019692378109452735,343,88,0.4583333333333333,560,832,722.4543946932007,712,560
6,lab8,simple,12443,64197427.200003296,7097,5346,1653,1902,1648,1894,1720,3626,290.284002,0.02332910085992124,7097,189,0.984375,560,832,719.755042996062,712,560
7,lab8,simple,2663,2903051.9999999925,1463,1200,339,399,334,391,371,829,51.000105,0.01915137251220428,1463,123,0.640625,560,832,719.2249342846413,712,560
8,lab8,simple,4417,8061297.399999849,2515,1902,604,660,599,652,610,1292,88.523943,0.02004164432872991,2515,188,0.9791666666666666,560,832,721.0450532035318,712,560
9,lab8,simple,3077,3948251.399999955,1799,1278,416,490,411,482,418,860,62.026395,0.02015807442313942,1799,174,0.90625,560,832,721.9577510562236,712,560
10,lab8,AVERAGE,3207.6,9302025.580000293,1830.8,1376.8,429.9,492.0,424.9,484.0,444.2,932.6,68.2292476,0.020198910615893968,1830.8,132.5,0.6901041666666667,560.0,832.0,722.7194012335863,712.0,560.0
