ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab8,tremaux,169,11900.599999999999,99,70,25,31,20,23,52,18,2.342147,0.013858857988165682,99,59,0.3072916666666667,1304,6232,3390.9112426035504,1304,6232
1,lab8,tremaux,195,15888.799999999985,113,82,29,34,24,26,54,28,2.617576,0.013423466666666667,113,66,0.34375,1304,6872,4040.246153846154,1304,6872
2,lab8,tremaux,121,6266.600000000003,73,48,19,24,14,16,35,13,1.625906,0.013437239669421489,73,46,0.23958333333333334,1216,4888,3140.3636363636365,1216,4888
3,lab8,tremaux,107,4756.4000000000015,59,48,17,19,12,11,29,19,1.460659,0.013651018691588784,59,39,0.203125,1304,4632,2928.7476635514017,1304,4632
4,lab8,tremaux,143,8548.0,83,60,23,25,18,17,39,21,2.167232,0.01515546853146853,83,51,0.265625,1304,5752,3128.6153846153848,1304,5752
5,lab8,tremaux,45,871.4000000000005,27,18,10,10,5,2,12,6,0.718313,0.015962511111111112,27,23,0.11979166666666667,1216,3192,2161.777777777778,1216,3192
6,lab8,tremaux,195,15985.599999999986,113,82,30,33,25,25,62,20,2.577044,0.013215610256410255,113,66,0.34375,1216,6872,4005.128205128205,1216,6872
7,lab8,tremaux,83,2870.800000000001,47,36,13,17,8,9,23,13,1.125918,0.013565277108433735,47,33,0.171875,1304,3896,2387.5662650602408,1304,3896
8,lab8,tremaux,195,15991.999999999987,113,82,30,33,25,25,56,26,2.586945,0.013266384615384616,113,66,0.34375,1216,6872,4071.2615384615383,1216,6872
9,lab8,tremaux,183,14152.799999999996,107,76,28,32,23,24,55,21,2.485206,0.013580360655737703,107,63,0.328125,1216,6616,3864.3060109289618,1216,6616
10,lab8,AVERAGE,143.6,9723.299999999997,83.4,60.2,22.4,25.8,17.4,17.8,41.7,18.5,1.9706946000000003,0.013911619529438857,83.4,51.2,0.2666666666666667,1260.0,5582.4,3311.892387833685,1260.0,5582.4
