ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab4,tremaux,303,38495.199999999975,180,123,46,49,34,51,75,48,3.769202,0.012439610561056105,180,107,0.5544041450777202,664,8024,4556.752475247525,664,8024
1,lab4,tremaux,391,64537.59999999997,236,155,59,64,47,66,105,50,5.236326,0.01339213810741688,236,135,0.6994818652849741,664,11288,6063.959079283887,664,11288
2,lab4,tremaux,347,50849.999999999956,208,139,51,58,39,60,87,52,4.356916,0.012555953890489914,208,121,0.6269430051813472,664,9336,5274.2824207492795,664,9336
3,lab4,tremaux,573,137667.4000000001,344,229,83,94,71,96,140,89,7.480256,0.013054547993019196,344,189,0.9792746113989638,664,15160,8193.633507853403,664,15160
4,lab4,tremaux,149,9484.999999999998,92,57,26,25,14,27,38,19,1.789649,0.01201106711409396,92,63,0.32642487046632124,664,4760,3228.4026845637586,664,4760
5,lab4,tremaux,71,2156.0,44,27,17,10,5,12,15,12,0.910935,0.012830070422535212,44,39,0.20207253886010362,664,3320,2258.8169014084506,664,3320
6,lab4,tremaux,359,53965.599999999955,212,147,54,57,42,59,95,52,4.219121,0.011752426183844013,212,123,0.6373056994818653,664,8920,4981.1253481894155,664,8920
7,lab4,tremaux,407,69195.20000000001,240,167,58,67,46,69,109,58,4.989975,0.012260380835380835,240,137,0.7098445595854922,664,10360,5895.783783783784,664,10360
8,lab4,tremaux,103,4575.2,64,39,20,17,8,19,21,18,1.380694,0.013404796116504854,64,49,0.2538860103626943,664,4504,2921.3980582524273,664,4504
9,lab4,tremaux,279,32623.199999999975,164,115,45,42,33,44,71,44,3.303128,0.011839168458781362,164,99,0.5129533678756477,664,7512,4189.075268817204,664,7512
10,lab4,AVERAGE,298.2,46355.03999999999,178.4,119.8,45.9,48.3,33.9,50.3,75.6,44.2,3.7436202,0.012554015968312232,178.4,106.2,0.550259067357513,664.0,8318.4,4756.322952814914,664.0,8318.4
