ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab2,simple,375,58391.19999999998,216,159,64,50,50,52,60,99,7.607034,0.020285424,216,90,0.46632124352331605,560,832,719.744,712,832
1,lab2,simple,153,9696.199999999999,90,63,30,21,16,23,22,41,3.156868,0.020633124183006536,90,58,0.3005181347150259,560,832,730.1960784313726,712,832
2,lab2,simple,1013,429146.6000000013,588,425,150,150,136,152,159,266,19.53769,0.019286959526159924,588,124,0.6424870466321243,560,832,714.5350444225074,712,832
3,lab2,simple,411,71935.60000000002,260,151,77,59,63,61,58,93,8.477084,0.020625508515815086,260,111,0.5751295336787565,560,832,724.0875912408759,712,832
4,lab2,simple,623,163760.7999999999,380,243,102,94,88,96,86,157,12.917331,0.020734078651685396,380,112,0.5803108808290155,560,832,720.6677367576244,712,832
5,lab2,simple,1975,1642836.0000000042,1184,791,301,297,287,299,292,499,39.924526,0.020214949873417723,1184,137,0.7098445595854922,560,832,715.6820253164557,712,832
6,lab2,simple,2187,2010041.9999999937,1308,879,325,335,311,337,340,539,44.835594,0.020500957475994515,1308,171,0.8860103626943006,560,832,721.1851851851852,712,832
7,lab2,simple,551,128169.60000000005,348,203,99,81,85,83,68,135,11.516511,0.02090110889292196,348,112,0.5803108808290155,560,832,718.4464609800362,712,832
8,lab2,simple,387,63414.799999999974,236,151,61,63,47,65,56,95,7.933837,0.02050087080103359,236,88,0.45595854922279794,560,832,714.5426356589147,712,832
9,lab2,simple,239,23461.199999999983,134,105,41,32,27,34,41,64,4.881385,0.020424205020920502,134,74,0.38341968911917096,560,832,719.4309623430962,712,832
10,lab2,AVERAGE,791.4,460085.3999999999,474.4,317.0,125.0,118.2,111.0,120.2,118.2,198.8,16.078786,0.020410718694095525,474.4,107.7,0.5580310880829015,560.0,832.0,719.8517720336068,712.0,832.0
