ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab5,simple,6338,16941328.19999987,3818,2520,908,1001,897,1012,834,1686,127.907983,0.02018112701167561,3818,178,0.9621621621621622,560,832,721.6661407384033,560,712
1,lab5,simple,1400,815440.8000000034,814,586,199,208,188,219,185,401,27.540293,0.019671637857142855,814,150,0.8108108108108109,560,832,721.7828571428571,560,712
2,lab5,simple,572,137633.99999999994,350,222,91,84,80,95,87,135,11.796283,0.020622872377622378,350,93,0.5027027027027027,560,832,725.2447552447552,560,712
3,lab5,simple,7788,25446567.599999867,4630,3158,1124,1191,1113,1202,1009,2149,167.621703,0.02152307434514638,4630,170,0.918918918918919,560,832,718.9881869542886,560,712
4,lab5,simple,2066,1770362.6000000022,1198,868,321,278,310,289,284,584,40.919535,0.019806164085188774,1198,159,0.8594594594594595,560,832,719.8838334946757,560,712
5,lab5,simple,4256,7600819.599999902,2556,1700,536,742,525,753,562,1138,86.343626,0.020287506109022555,2556,178,0.9621621621621622,560,832,719.6898496240601,560,712
6,lab5,simple,1852,1440756.8000000024,1092,760,247,299,236,310,250,510,36.490215,0.019703139848812095,1092,166,0.8972972972972973,560,832,719.6803455723542,560,712
7,lab5,simple,648,177849.60000000003,406,242,103,100,92,111,83,159,13.22559,0.02040986111111111,406,108,0.5837837837837838,560,832,722.0246913580247,560,712
8,lab5,simple,3114,4008332.5999999396,1756,1358,458,420,447,431,433,925,59.703236,0.019172522800256903,1756,176,0.9513513513513514,560,832,717.8163134232499,560,712
9,lab5,simple,1366,770757.8000000034,764,602,205,177,194,188,181,421,25.823305,0.018904322840409958,764,126,0.6810810810810811,560,832,716.8960468521229,560,712
10,lab5,AVERAGE,2940.0,5910984.959999959,1738.4,1201.6,419.2,450.0,408.2,461.0,390.8,810.8,59.737176899999994,0.020028222838638865,1738.4,150.4,0.812972972972973,560.0,832.0,720.3673020404792,560.0,712.0
