ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab5,tremaux,100,4194.8,58,42,18,11,7,22,27,15,1.33926,0.0133926,58,45,0.24324324324324326,664,4248,2652.56,664,4136
1,lab5,tremaux,208,18235.999999999985,126,82,32,31,21,42,59,23,2.632344,0.012655499999999998,126,79,0.42702702702702705,664,6488,3824.8846153846152,664,6376
2,lab5,tremaux,52,1158.4000000000003,32,20,14,2,3,13,12,8,0.636775,0.012245673076923076,32,32,0.17297297297297298,664,2872,2017.8461538461538,664,2760
3,lab5,tremaux,112,5295.200000000002,66,46,22,11,11,22,33,13,1.360828,0.01215025,66,49,0.2648648648648649,664,4248,2774.785714285714,664,4136
4,lab5,tremaux,406,68564.99999999994,236,170,64,54,53,65,117,53,5.869442,0.01445675369458128,236,134,0.7243243243243244,664,13400,7645.339901477832,664,13288
5,lab5,tremaux,458,87692.99999999994,270,188,72,63,61,74,132,56,6.323052,0.0138057903930131,270,151,0.8162162162162162,664,14520,7835.248908296943,664,14408
6,lab5,tremaux,408,69465.19999999994,240,168,67,53,56,64,116,52,5.728585,0.014040649509803922,240,136,0.7351351351351352,664,13400,7552.607843137255,664,13288
7,lab5,tremaux,170,12214.6,102,68,29,22,18,33,48,20,2.0048,0.011792941176470588,102,67,0.3621621621621622,664,5240,3311.0588235294117,664,5128
8,lab5,tremaux,150,9472.599999999997,90,60,23,22,12,33,38,22,1.856963,0.012379753333333333,90,61,0.32972972972972975,664,5240,3102.2933333333335,664,5128
9,lab5,tremaux,146,9198.999999999995,92,54,29,17,18,28,35,19,1.721311,0.011789801369863014,92,62,0.33513513513513515,664,4632,3023.4520547945203,664,4520
10,lab5,AVERAGE,221.0,28549.379999999976,131.2,89.8,37.0,28.6,26.0,39.6,61.7,28.1,2.947336,0.01287097125539883,131.2,81.6,0.44108108108108113,664.0,7428.8,4374.007734808578,664.0,7316.8
