ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab0,simple,1678,1167688.200000002,961,717,225,254,233,249,231,486,34.34853,0.02046992252681764,961,184,0.9484536082474226,560,832,719.2753277711562,560,712
1,lab0,simple,406,68017.79999999997,229,177,50,63,58,58,73,104,8.352409,0.02057243596059113,229,73,0.37628865979381443,560,832,723.6256157635468,560,712
2,lab0,simple,198,16403.799999999996,119,79,23,35,31,30,28,51,4.103721,0.020725863636363636,119,38,0.1958762886597938,560,832,722.2626262626262,560,712
3,lab0,simple,964,391605.2000000008,575,389,136,150,144,145,135,254,19.635473,0.020368747925311206,575,65,0.33505154639175255,560,832,712.4398340248963,560,712
4,lab0,simple,698,203978.60000000018,415,283,89,117,97,112,106,177,14.493712,0.020764630372492838,415,56,0.28865979381443296,560,832,717.1117478510029,560,712
5,lab0,simple,262,28640.199999999997,157,105,31,46,39,41,35,70,5.464936,0.020858534351145038,157,54,0.27835051546391754,560,832,711.5114503816794,560,712
6,lab0,simple,768,245061.20000000086,437,331,107,110,115,105,106,225,15.378736,0.020024395833333333,437,141,0.7268041237113402,560,832,721.8020833333334,560,712
7,lab0,simple,68,1935.9999999999998,41,27,5,14,13,9,8,19,1.522554,0.0223905,41,30,0.15463917525773196,560,832,724.5882352941177,560,712
8,lab0,simple,278,32237.399999999972,163,115,30,50,38,45,38,77,5.754582,0.02069993525179856,163,49,0.25257731958762886,560,832,718.3597122302158,560,712
9,lab0,simple,366,55565.39999999994,211,155,43,61,51,56,54,101,7.52708,0.020565792349726775,211,95,0.4896907216494845,560,832,721.879781420765,560,712
10,lab0,AVERAGE,568.6,221113.38000000035,330.8,237.8,73.9,90.0,81.9,85.0,81.4,156.4,11.6581733,0.020744075820758014,330.8,78.5,0.40463917525773196,560.0,832.0,719.2856414333339,560.0,712.0
