ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab8,directedTremaux,77,2480.5999999999995,45,32,12,17,7,9,19,13,1.213722,0.015762623376623375,45,32,0.16666666666666666,1472,3936,2619.7402597402597,1472,3936
1,lab8,directedTremaux,25,283.4,17,8,6,9,1,1,3,5,0.448823,0.01795292,17,18,0.09375,1384,2656,1986.56,1384,2656
2,lab8,directedTremaux,29,374.59999999999985,19,10,7,9,2,1,6,4,0.51214,0.017660000000000002,19,19,0.09895833333333333,1384,2784,2049.3793103448274,1384,2784
3,lab8,directedTremaux,31,410.4000000000001,19,12,6,10,1,2,5,7,0.502495,0.016209516129032257,19,19,0.09895833333333333,1472,2784,2016.774193548387,1472,2784
4,lab8,directedTremaux,77,2480.5999999999995,45,32,12,17,7,9,19,13,1.151576,0.014955532467532466,45,32,0.16666666666666666,1472,3936,2619.7402597402597,1472,3936
5,lab8,directedTremaux,39,648.8000000000002,23,16,7,11,2,3,9,7,0.594914,0.01525420512820513,23,21,0.109375,1472,2912,2189.948717948718,1472,2912
6,lab8,directedTremaux,33,486.6,21,12,7,10,2,2,7,5,0.524867,0.015905060606060607,21,20,0.10416666666666667,1384,2784,2167.5151515151515,1384,2784
7,lab8,directedTremaux,39,648.8000000000002,23,16,7,11,2,3,9,7,0.589649,0.015119205128205127,23,21,0.109375,1472,2912,2189.948717948718,1472,2912
8,lab8,directedTremaux,35,519.2,21,14,7,10,2,2,8,6,0.567405,0.01621157142857143,21,20,0.10416666666666667,1472,2912,2080.0,1472,2912
9,lab8,directedTremaux,85,3022.9999999999995,49,36,13,18,8,10,23,13,1.239096,0.0145776,49,34,0.17708333333333334,1472,4064,2750.8705882352942,1472,4064
10,lab8,AVERAGE,47.0,1135.6,28.2,18.8,8.4,12.2,3.4,4.2,10.8,8.0,0.7344687,0.01596082342642304,28.2,23.6,0.12291666666666665,1445.6,3168.0,2267.0477199021616,1445.6,3168.0
