ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab2,directedTremaux,247,25927.999999999985,148,99,42,38,28,40,60,39,3.397524,0.013755157894736842,148,88,0.45595854922279794,1328,7360,4438.931174089069,1384,7336
1,lab2,directedTremaux,227,21741.999999999993,132,95,39,33,25,35,56,39,2.732406,0.012037030837004406,132,80,0.41450777202072536,1328,6056,3820.7224669603524,1384,6056
2,lab2,directedTremaux,227,21729.199999999993,132,95,39,33,25,35,56,39,2.855315,0.012578480176211455,132,80,0.41450777202072536,1328,6056,3779.418502202643,1384,6056
3,lab2,directedTremaux,247,25921.599999999984,148,99,42,38,28,40,68,31,3.283657,0.013294157894736841,148,88,0.45595854922279794,1328,7360,4428.178137651822,1384,7336
4,lab2,directedTremaux,195,16254.799999999992,120,75,36,30,22,32,52,23,2.619542,0.013433548717948718,120,74,0.38341968911917096,1328,6336,3811.733333333333,1384,6312
5,lab2,directedTremaux,227,21735.599999999995,132,95,39,33,25,35,58,37,2.724254,0.012001118942731278,132,80,0.41450777202072536,1328,6056,3777.1629955947137,1384,6056
6,lab2,directedTremaux,289,35292.99999999995,170,119,48,43,34,45,78,41,3.649611,0.012628411764705883,170,99,0.5129533678756477,1328,7488,4642.740484429066,1384,7464
7,lab2,directedTremaux,247,25953.599999999984,148,99,42,38,28,40,66,33,3.242866,0.013129012145748986,148,88,0.45595854922279794,1328,7360,4421.95951417004,1384,7336
8,lab2,directedTremaux,289,35318.59999999995,170,119,48,43,34,45,74,45,3.551759,0.012289823529411764,170,99,0.5129533678756477,1328,7488,4563.570934256056,1384,7464
9,lab2,directedTremaux,247,25934.399999999987,148,99,42,38,28,40,64,35,3.201065,0.012959777327935223,148,88,0.45595854922279794,1328,7360,4382.056680161943,1384,7336
10,lab2,AVERAGE,244.2,25581.07999999998,144.8,99.4,41.7,36.7,27.7,38.7,63.2,36.2,3.1257999,0.01281065192311714,144.8,86.4,0.44766839378238343,1328.0,6892.0,4206.647422284904,1384.0,6875.2
