ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab3,tremaux,400,66103.59999999995,232,168,64,49,59,60,102,66,4.600691,0.011501727500000001,232,128,0.6918918918918919,664,8920,5122.38,664,8840
1,lab3,tremaux,92,3523.200000000001,52,40,16,7,11,18,20,20,1.15576,0.012562608695652172,52,38,0.20540540540540542,664,3896,2332.8695652173915,664,3816
2,lab3,tremaux,294,35537.79999999997,164,130,43,36,38,47,83,47,3.942427,0.013409615646258503,164,94,0.5081081081081081,664,8792,4971.482993197279,664,8712
3,lab3,tremaux,476,93431.99999999997,272,204,73,60,68,71,124,80,5.558428,0.01167736974789916,272,148,0.8,664,11032,6051.747899159664,664,10952
4,lab3,tremaux,282,33046.199999999975,164,118,45,34,40,45,75,43,3.548834,0.012584517730496453,164,94,0.5081081081081081,664,8408,5161.617021276596,664,8328
5,lab3,tremaux,264,28899.59999999998,152,112,41,32,36,43,68,44,3.435323,0.013012587121212121,152,88,0.4756756756756757,664,8200,4514.606060606061,664,8200
6,lab3,tremaux,184,14036.799999999997,110,74,32,20,27,31,45,29,2.07342,0.011268586956521739,110,67,0.3621621621621622,664,5032,3295.5652173913045,664,5032
7,lab3,tremaux,314,40664.59999999995,176,138,45,40,40,51,87,51,3.915402,0.012469433121019108,176,100,0.5405405405405406,664,8920,5025.554140127389,664,8840
8,lab3,tremaux,114,5359.800000000001,64,50,18,11,13,22,29,21,1.313122,0.011518614035087719,64,44,0.23783783783783785,664,4024,2603.8596491228072,664,3944
9,lab3,tremaux,54,1236.6000000000001,34,20,12,2,7,13,10,10,0.664043,0.012297092592592594,34,29,0.15675675675675677,664,2792,1684.2962962962963,664,2792
10,lab3,AVERAGE,247.4,32184.01999999997,142.0,105.4,38.9,29.1,33.9,40.1,64.3,41.1,3.020745,0.012230215314673958,142.0,83.0,0.4486486486486487,664.0,7001.6,4076.397884239479,664.0,6945.6
