ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab7,directedTremaux,192,15363.599999999995,111,81,30,33,23,25,55,26,2.628359,0.013689369791666668,111,68,0.37777777777777777,832,6152,3515.5,832,6152
1,lab7,directedTremaux,134,7486.5999999999985,79,55,23,24,16,16,40,15,1.827438,0.013637597014925373,79,52,0.28888888888888886,832,5064,2756.2388059701493,832,5064
2,lab7,directedTremaux,48,990.8000000000002,31,17,11,12,4,4,11,6,0.600971,0.012520229166666667,31,28,0.15555555555555556,832,2664,1666.3333333333333,832,2664
3,lab7,directedTremaux,48,990.8000000000002,31,17,11,12,4,4,11,6,0.596655,0.0124303125,31,28,0.15555555555555556,832,2664,1666.3333333333333,832,2664
4,lab7,directedTremaux,52,1158.8000000000004,33,19,11,13,4,5,14,5,0.675007,0.012980903846153847,33,29,0.16111111111111112,832,2792,1729.6923076923076,832,2792
5,lab7,directedTremaux,130,7025.800000000001,77,53,23,23,16,15,33,20,1.962961,0.015099699999999999,77,51,0.2833333333333333,832,4936,2593.107692307692,832,4936
6,lab7,directedTremaux,134,7467.400000000001,79,55,23,24,16,16,38,17,1.932732,0.014423373134328357,79,52,0.28888888888888886,832,5064,2656.6567164179105,832,5064
7,lab7,directedTremaux,134,7489.799999999999,79,55,23,24,16,16,38,17,1.829558,0.013653417910447762,79,52,0.28888888888888886,832,5064,2776.5373134328356,832,5064
8,lab7,directedTremaux,130,7025.800000000001,77,53,23,23,16,15,33,20,1.753835,0.013491038461538462,77,51,0.2833333333333333,832,4936,2593.107692307692,832,4936
9,lab7,directedTremaux,130,7048.200000000001,77,53,23,23,16,15,33,20,1.767591,0.013596853846153846,77,51,0.2833333333333333,832,4936,2718.153846153846,832,4936
10,lab7,AVERAGE,113.2,6204.76,67.4,45.8,20.1,21.1,13.1,13.1,30.6,15.2,1.5575107000000001,0.013552279567188097,67.4,46.2,0.25666666666666665,832.0,4427.2,2467.16610409491,832.0,4427.2
