ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab0,tremaux,570,135117.80000000008,331,239,80,84,88,79,146,93,8.946757,0.0156960649122807,331,175,0.9020618556701031,664,16248,8829.122807017544,664,16168
1,lab0,tremaux,46,904.2000000000004,29,17,4,9,12,4,11,6,0.548776,0.011929913043478261,29,24,0.12371134020618557,664,2232,1442.608695652174,664,2152
2,lab0,tremaux,584,141826.00000000017,337,247,77,90,85,85,158,89,7.722708,0.01322381506849315,337,178,0.9175257731958762,664,15928,8379.972602739726,664,15816
3,lab0,tremaux,584,141935.20000000007,339,245,79,89,87,84,151,94,7.940921,0.013597467465753426,339,179,0.9226804123711341,664,16440,8830.82191780822,664,16328
4,lab0,tremaux,584,141274.00000000012,337,247,80,87,88,82,172,75,7.768869,0.013302857876712327,337,178,0.9175257731958762,664,15928,8431.72602739726,664,15816
5,lab0,tremaux,116,5614.799999999998,67,49,9,23,17,18,29,20,1.19886,0.010335,67,43,0.22164948453608246,664,3192,2180.896551724138,664,3080
6,lab0,tremaux,582,140421.4000000002,335,247,78,88,86,83,160,87,7.910952,0.013592701030927835,335,177,0.9123711340206185,664,16312,8797.017182130585,664,16200
7,lab0,tremaux,556,128965.19999999997,323,233,74,86,82,81,145,88,7.571445,0.013617706834532374,323,171,0.8814432989690721,664,16120,8865.122302158274,664,16040
8,lab0,tremaux,98,4047.4,59,39,12,16,20,11,26,13,1.087675,0.011098724489795918,59,39,0.20103092783505155,664,3192,2060.816326530612,664,3080
9,lab0,tremaux,100,4242.400000000001,61,39,11,18,19,13,26,13,0.999115,0.009991149999999999,61,40,0.20618556701030927,664,2744,1836.8,664,2632
10,lab0,AVERAGE,382.0,84434.84000000005,221.8,160.2,50.4,59.0,58.4,54.0,102.4,57.8,5.1696078,0.0126385400721974,221.8,120.4,0.6206185567010309,664.0,10833.6,5965.490441315854,664.0,10731.2
