ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab5,directedTremaux,374,58404.59999999996,218,156,59,50,48,61,102,54,5.819401,0.015559895721925133,218,125,0.6756756756756757,832,12928,7197.775401069519,832,12816
1,lab5,directedTremaux,374,58234.99999999997,218,156,59,50,48,61,114,42,5.836252,0.015604951871657754,218,125,0.6756756756756757,832,12928,7234.5668449197865,832,12816
2,lab5,directedTremaux,368,56577.99999999997,216,152,59,49,48,60,102,50,5.562491,0.015115464673913042,216,124,0.6702702702702703,832,12800,7109.847826086957,832,12688
3,lab5,directedTremaux,370,57075.79999999996,216,154,60,48,49,59,107,47,5.482056,0.014816367567567568,216,124,0.6702702702702703,832,12544,7014.810810810811,832,12432
4,lab5,directedTremaux,388,62891.99999999996,228,160,62,52,51,63,106,54,5.792948,0.014930278350515464,228,130,0.7027027027027027,832,12928,7356.577319587629,832,12816
5,lab5,directedTremaux,396,65597.59999999998,232,164,62,54,51,65,114,50,5.904254,0.014909732323232323,232,132,0.7135135135135136,832,13056,7479.292929292929,832,12944
6,lab5,directedTremaux,394,64624.199999999975,230,164,62,53,51,64,122,42,5.842246,0.014828035532994924,230,131,0.7081081081081081,832,13056,7473.563451776649,832,12944
7,lab5,directedTremaux,368,56363.99999999996,214,154,60,47,49,58,105,49,5.495185,0.01493256793478261,214,123,0.6648648648648648,832,12544,7015.45652173913,832,12432
8,lab5,directedTremaux,348,50555.599999999984,202,146,57,44,46,55,107,39,5.32358,0.01529764367816092,202,117,0.6324324324324324,832,12416,6870.298850574713,832,12304
9,lab5,directedTremaux,368,56509.59999999996,214,154,60,47,49,58,109,45,5.463426,0.014846266304347827,214,123,0.6648648648648648,832,12544,7072.586956521739,832,12432
10,lab5,AVERAGE,374.8,58683.63999999997,218.8,156.0,60.0,49.4,49.0,60.4,108.8,47.2,5.6521839,0.015084120395909756,218.8,125.4,0.6778378378378378,832.0,12774.4,7182.477691237987,832.0,12662.4
