ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab4,directedTremaux,139,8330.000000000002,88,51,26,23,14,25,31,20,1.891415,0.013607302158273382,88,61,0.3160621761658031,832,4672,3208.863309352518,832,4672
1,lab4,directedTremaux,293,36254.99999999996,178,115,47,47,35,49,67,48,3.670263,0.012526494880546074,178,106,0.5492227979274611,832,7808,4798.034129692833,832,7808
2,lab4,directedTremaux,57,1421.0000000000005,38,19,16,8,4,10,9,10,0.787173,0.013810052631578947,38,36,0.18652849740932642,832,3232,2228.4912280701756,832,3232
3,lab4,directedTremaux,219,20289.199999999993,132,87,38,33,26,35,51,36,3.026708,0.013820584474885846,132,83,0.43005181347150256,832,6528,3814.1735159817354,832,6528
4,lab4,directedTremaux,301,38267.799999999974,182,119,48,48,36,50,73,46,3.795686,0.012610252491694353,182,108,0.5595854922279793,832,7936,4745.807308970099,832,7936
5,lab4,directedTremaux,293,36243.79999999996,178,115,47,47,35,49,67,48,3.632063,0.012396119453924916,178,106,0.5492227979274611,832,7808,4794.102389078498,832,7808
6,lab4,directedTremaux,147,9289.999999999996,92,55,27,24,15,26,31,24,1.831654,0.012460231292517006,92,63,0.32642487046632124,832,4800,3254.1496598639455,832,4800
7,lab4,directedTremaux,301,38219.79999999997,182,119,48,48,36,50,71,48,3.750026,0.012458558139534883,182,108,0.5595854922279793,832,7936,4895.069767441861,832,7936
8,lab4,directedTremaux,147,9270.799999999994,92,55,27,24,15,26,33,22,1.80192,0.01225795918367347,92,63,0.32642487046632124,832,4800,3295.074829931973,832,4800
9,lab4,directedTremaux,301,38211.799999999974,182,119,48,48,36,50,69,50,3.728722,0.012387780730897009,182,108,0.5595854922279793,832,7936,4879.229235880399,832,7936
10,lab4,AVERAGE,219.8,23579.919999999984,134.4,85.4,37.2,35.0,25.2,37.0,50.2,35.2,2.791563,0.012833533543752587,134.4,84.2,0.4362694300518134,832.0,6345.6,3991.2995374264037,832.0,6345.6
