ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab0,directedTremaux,32,442.80000000000007,21,11,1,8,9,3,6,5,0.460897,0.01440303125,21,20,0.10309278350515463,832,2272,1552.0,832,2192
1,lab0,directedTremaux,32,442.80000000000007,21,11,1,8,9,3,6,5,0.512798,0.0160249375,21,20,0.10309278350515463,832,2272,1552.0,832,2192
2,lab0,directedTremaux,32,442.80000000000007,21,11,1,8,9,3,6,5,0.433511,0.01354721875,21,20,0.10309278350515463,832,2272,1552.0,832,2192
3,lab0,directedTremaux,52,1163.2000000000005,33,19,2,13,10,8,10,9,0.626367,0.012045519230769231,33,26,0.13402061855670103,832,2400,1772.1538461538462,832,2320
4,lab0,directedTremaux,32,442.80000000000007,21,11,1,8,9,3,6,5,0.404825,0.01265078125,21,20,0.10309278350515463,832,2272,1552.0,832,2192
5,lab0,directedTremaux,32,442.80000000000007,21,11,1,8,9,3,6,5,0.418959,0.01309246875,21,20,0.10309278350515463,832,2272,1552.0,832,2192
6,lab0,directedTremaux,32,442.80000000000007,21,11,1,8,9,3,6,5,0.421413,0.01316915625,21,20,0.10309278350515463,832,2272,1552.0,832,2192
7,lab0,directedTremaux,52,1163.2000000000005,33,19,2,13,10,8,10,9,0.593487,0.011413211538461539,33,26,0.13402061855670103,832,2400,1772.1538461538462,832,2320
8,lab0,directedTremaux,52,1163.2000000000005,33,19,2,13,10,8,10,9,0.603096,0.011597999999999999,33,26,0.13402061855670103,832,2400,1772.1538461538462,832,2320
9,lab0,directedTremaux,52,1163.2000000000005,33,19,2,13,10,8,10,9,0.605218,0.011638807692307693,33,26,0.13402061855670103,832,2400,1772.1538461538462,832,2320
10,lab0,AVERAGE,40.0,730.9600000000003,25.8,14.2,1.4,10.0,9.4,5.0,7.6,6.6,0.5080570999999999,0.012958313221153844,25.8,22.4,0.11546391752577319,832.0,2323.2,1640.0615384615382,832.0,2243.2
